"","model","method","parm_names","parm_values","eps","ss"
"152","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",189.559841733435,27.5768515766232,50
"153","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.217079851090276,27.5768515766232,50
"154","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",6.30576531327709,27.5768515766232,50
"155","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,27.5768515766232,50
"156","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.8103,27.5768515766232,50
"157","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.55301563281738,27.5768515766232,50
"158","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.2231,27.5768515766232,50
"159","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",899.641258367041,27.5768515766232,50
"160","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",191.947939618272,27.5768515766232,50
"161","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.241472375695091,32.8221671713102,100
"162","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",6.1968424717828,32.8221671713102,100
"163","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,32.8221671713102,100
"164","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.7917,32.8221671713102,100
"165","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.545998251090658,32.8221671713102,100
"166","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.2456,32.8221671713102,100
"167","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",808.09110698823,32.8221671713102,100
"168","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",191.121738125882,32.8221671713102,100
"169","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.189875830625,32.8221671713102,100
"170","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",6.4233151774546,32.8221671713102,100
"171","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,32.8221671713102,100
"172","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.8241,32.8221671713102,100
"173","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.548092785894789,32.8221671713102,100
"174","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.1927,32.8221671713102,100
"175","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",1017.2698180849,32.8221671713102,100
"176","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",193.767256509611,32.8221671713102,100
"177","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.271862069062037,34.9264551721199,200
"178","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",6.07925384804303,34.9264551721199,200
"179","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,34.9264551721199,200
"180","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.7655,34.9264551721199,200
"181","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.556242575040126,34.9264551721199,200
"182","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.2721,34.9264551721199,200
"183","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",716.490122184928,34.9264551721199,200
"184","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",197.328911134111,34.9264551721199,200
"185","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.304685134315331,34.9264551721199,200
"186","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",6.06237200317097,34.9264551721199,200
"187","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,34.9264551721199,200
"188","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.7356,34.9264551721199,200
"189","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.63764372271438,34.9264551721199,200
"190","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.3024,34.9264551721199,200
"191","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",710.505142356306,34.9264551721199,200
"192","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",224.11743353287,34.9264551721199,200
"193","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.342863959344573,19.4375667840128,25
"194","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",5.83639187924334,19.4375667840128,25
"195","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,19.4375667840128,25
"196","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.7079,19.4375667840128,25
"197","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.568523882140961,19.4375667840128,25
"198","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.3411,19.4375667840128,25
"199","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",568.986565971499,19.4375667840128,25
"200","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",205.04860431895,19.4375667840128,25
"201","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.336995764201821,19.4375667840128,25
"202","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",5.81323817083964,19.4375667840128,25
"203","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,19.4375667840128,25
"204","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.7077,19.4375667840128,25
"205","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.512516644521922,19.4375667840128,25
"206","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.337,19.4375667840128,25
"207","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",529.112028570304,19.4375667840128,25
"208","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",185.942678993315,19.4375667840128,25
"209","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.364852530999088,27.2100519882759,50
"210","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",5.79671656378357,27.2100519882759,50
"211","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,27.2100519882759,50
"212","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.6935,27.2100519882759,50
"213","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.54104902438767,27.2100519882759,50
"214","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.3681,27.2100519882759,50
"215","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",531.228035617407,27.2100519882759,50
"216","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",193.626631829405,27.2100519882759,50
"217","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.435522040406946,27.2100519882759,50
"218","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",5.61696350570474,27.2100519882759,50
"219","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,27.2100519882759,50
"220","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.6415,27.2100519882759,50
"221","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.551595756184035,27.2100519882759,50
"222","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.4446,27.2100519882759,50
"223","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",451.946961776264,27.2100519882759,50
"224","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",199.237202727988,27.2100519882759,50
"225","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.337802812398926,33.7384751877027,100
"226","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",5.86843234172213,33.7384751877027,100
"227","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,33.7384751877027,100
"228","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.7172,33.7384751877027,100
"229","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.555347844206039,33.7384751877027,100
"230","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.3345,33.7384751877027,100
"231","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",574.21347953459,33.7384751877027,100
"232","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",197.61558784409,33.7384751877027,100
"233","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.308238451668652,33.7384751877027,100
"234","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",5.99414490254178,33.7384751877027,100
"235","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,33.7384751877027,100
"236","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.7437,33.7384751877027,100
"237","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.530258540593433,33.7384751877027,100
"238","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.3223,33.7384751877027,100
"239","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",659.628677978458,33.7384751877027,100
"240","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",188.715076814329,33.7384751877027,100
